img_num,original_output,modified_output
0,0.626819466,0.742570375
1,0.595876711,0.626172842
2,0.828873423,0.831790046
3,0.784128765,0.915856047
4,0.53763284,0.673377888
5,0.625514711,0.785628724
6,0.689606286,0.686563669
7,0.635415421,0.65688064
8,0.565148374,0.712936066
9,0.555115111,0.549845632
10,0.888569599,0.877889185
11,0.765893382,0.804274429
12,0.855536157,0.874494008
13,0.657999646,0.685958169
14,0.814955033,0.838513149
15,0.680039176,0.523345282
16,0.809704716,0.765572641
17,0.834135847,0.794481622
18,0.765128594,0.778271073
19,0.78229869,0.856844235
20,0.754446234,0.791254382
21,0.628291467,0.783362416
22,0.632060861,0.632304519
23,0.658807074,0.748238034
24,0.475320384,0.690507182
25,0.88003213,0.906332692
26,0.531307765,0.555894913
27,0.715198998,0.712623468
28,0.685748052,0.735007985
29,0.587747002,0.649462365
30,0.871031283,0.877318949
31,0.80631435,0.766263907
32,0.622600445,0.769972782
33,0.763860892,0.795834111
34,0.555160328,0.521176758
35,0.743020878,0.833160291
36,0.490979139,0.701370559
37,0.5473203,0.558953716
38,0.673041644,0.661251583
39,0.821900742,0.819506933
40,0.681227866,0.646395099
41,0.696937654,0.728409182
42,0.615697274,0.675589514
43,0.717008173,0.798760546
44,0.611503122,0.567178551
45,0.639631524,0.679324795
46,0.516705333,0.565039676
47,0.588296225,0.572975833
48,0.607884672,0.805427858
49,0.709822862,0.671967687
50,0.770216795,0.717714515
51,0.686850144,0.813852884
52,0.650626479,0.794875976
53,0.736889853,0.839352779
54,0.725710165,0.771805387
55,0.93999344,0.962955919
56,0.458916245,0.553063473
57,0.747672307,0.762133434
58,0.685466756,0.897937552
59,0.898397227,0.942306177
60,0.799426155,0.815437777
61,0.799456223,0.787453998
62,0.749750791,0.727326154
63,0.743609205,0.787095226
64,0.564266045,0.636228502
65,0.607748701,0.63996794
66,0.564331277,0.527305333
67,0.584699584,0.672036535
68,0.766112229,0.828472195
69,0.821466361,0.842093182
70,0.551612046,0.626243234
71,0.851473211,0.812928933
72,0.765200064,0.806583891
73,0.454808947,0.596006268
74,0.717533031,0.838806939
75,0.647766216,0.701525473
76,0.598825211,0.741326805
77,0.871531271,0.860375099
78,0.595587388,0.648863317
79,0.601904247,0.750299548
80,0.73701341,0.661489619
81,0.595066578,0.628601333
82,0.673288991,0.70652389
83,0.690591246,0.673936971
84,0.645299855,0.676242816
85,0.760866378,0.733002716
86,0.814712549,0.678511197
87,0.709815537,0.699362227
88,0.632698361,0.712124614
89,0.506749944,0.712521683
90,0.752743637,0.656207426
91,0.689350167,0.740244824
92,0.788575797,0.832577543
93,0.695697954,0.782137195
94,0.563405417,0.652699169
95,0.713212825,0.703454014
96,0.451646711,0.42455948
97,0.520067683,0.633172457
98,0.62061078,0.748503477
99,0.720414123,0.760776014
100,0.733564955,0.809396066
101,0.861921956,0.88685255
102,0.505019871,0.605215154
103,0.506410318,0.495829511
104,0.580618121,0.602797083
105,0.685251866,0.732896806
106,0.747902947,0.75288229
107,0.564367945,0.664524411
108,0.617377439,0.547940467
109,0.694772248,0.752634857
110,0.742986769,0.839392936
111,0.825154271,0.8471548
112,0.478884981,0.508307456
113,0.740490474,0.864502115
114,0.756669113,0.812117066
115,0.755278917,0.805324069
116,0.854925211,0.847549244
117,0.602451902,0.718555341
118,0.63821189,0.764544279
119,0.775697491,0.82195799
120,0.809472534,0.75713432
121,0.869029802,0.842894842
122,0.742593179,0.665756003
123,0.828052255,0.821957136
124,0.511617949,0.704562992
125,0.797426027,0.783253712
126,0.727144737,0.755514802
127,0.492202609,0.542047171
128,0.574634488,0.715496214
129,0.723248211,0.676367792
130,0.517685923,0.682413377
131,0.70734945,0.675005599
132,0.662038003,0.680389154
133,0.879463121,0.904011431
134,0.688938705,0.713889701
135,0.641590511,0.751933319
136,0.537016745,0.840529378
137,0.750790584,0.74476879
138,0.72303202,0.835378695
139,0.846001907,0.901295449
140,0.567428691,0.784865705
141,0.552582134,0.569301096
142,0.782833589,0.720995318
143,0.778888958,0.81350014
144,0.606222902,0.736523437
145,0.630149152,0.571342774
146,0.870871781,0.859208062
147,0.76150981,0.709011105
148,0.685008653,0.667656916
149,0.710920205,0.836171283
150,0.737057948,0.766827718
151,0.702713992,0.799043812
152,0.620946149,0.638085705
153,0.597893002,0.632683834
154,0.751978858,0.552990383
155,0.758295459,0.815042099
156,0.753766007,0.829932369
157,0.524453205,0.433729591
158,0.740806174,0.811918617
159,0.788572075,0.820414642
160,0.792099865,0.792176048
161,0.648801345,0.658779396
162,0.860077612,0.923588015
163,0.774667668,0.766775049
164,0.587238731,0.652391268
165,0.671814597,0.629018153
166,0.928096722,0.87589693
167,0.558228877,0.633282492
168,0.517878775,0.650090692
169,0.77573736,0.803421438
170,0.702830157,0.694019061
171,0.843070525,0.839835761
172,0.839168114,0.885674863
173,0.831042503,0.66813512
174,0.687991355,0.770434228
175,0.825088466,0.820580571
176,0.537089289,0.658518944
177,0.796999762,0.718718833
178,0.587249308,0.634489237
179,0.866378331,0.802291447
180,0.674717094,0.738768025
181,0.718715081,0.666662234
182,0.75639177,0.819908589
183,0.767525362,0.896347678
184,0.725473357,0.784174164
185,0.555413955,0.576240819
186,0.634765591,0.719232268
187,0.670982575,0.827594127
188,0.608644789,0.67179321
189,0.762781852,0.811425633
190,0.707470787,0.747752586
191,0.630501917,0.717082268
192,0.704758672,0.683248864
193,0.502940271,0.606155834
194,0.363557866,0.430338733
195,0.885341529,0.896373825
196,0.434456911,0.451819038
197,0.648465352,0.7021036
198,0.717776995,0.777241969
199,0.504178922,0.590133305
200,0.646951023,0.704835069
201,0.673027534,0.74062249
202,0.868738855,0.897670102
